FECHA,LOTE,ORIGEN,VARIEDAD,BENEFICIO,PESO EN VERDE,MERMA,PESO EN TOSTADO,PERFIL,TIEMPO DE TUESTE,TOSTADOR,TEMP. INICIO,TEMP. FINAL
22-07-22,01-190722,Jerico,Dos mil,Lavado,9.0,15.0,7.65,Filtrado,481,LFQ,175.0,191.0
25-07-22,01-190722,Jerico,Dos mil,Lavado,3.0,16.66666667,2.5,Espresso,522,LFQ,175.0,195.0
25-07-22,01-190722,Jerico,Dos mil,Lavado,9.0,16.44444444,7.52,Filtrado,478,LFQ,175.0,190.0
28-07-22,01-190722,Jerico,Dos mil,Lavado,11.7,16.32478632,9.79,Filtrado,482,LFQ,175.0,191.0
28-07-22,09-190722,Ciudad Bolivar,Tabi,Natural,0.45,24.44444444,0.34,Filtrado,490,LFQ,150.0,186.0
28-07-22,07-190722,Jerico,Dos mil,Lavado,0.45,24.44444444,0.34,Filtrado,484,LFQ,150.0,184.0
31-07-22,01-190722,Jerico,Dos mil,Lavado,29.0,15.34482759,24.55,Filtrado,482,LFQ,175.0,192.0
31-07-22,01-190722,Jerico,Dos mil,Lavado,3.0,16.33333333,2.51,Espresso,526,LFQ,175.0,196.0
2022-02-08 00:00:00,01-190722,Jerico,Dos mil,Lavado,6.0,16.66666667,5.0,Espresso,519,LFQ,175.0,195.0
2022-06-08 00:00:00,01-190722,Jerico,Dos mil,Lavado,12.0,15.83333333,10.1,Filtrado,483,LFQ,175.0,191.0
2022-08-08 00:00:00,01-190722,Jerico,Dos mil,Lavado,84.0,16.66666667,70.0,Espresso,525,LFQ,175.0,196.0
2022-08-08 00:00:00,09-190722,Ciudad Bolivar,Tabi,Natural,12.0,16.66666667,10.0,Filtrado,481,LFQ,175.0,192.0
2022-08-08 00:00:00,01-190722,Jerico,Dos mil,Lavado,42.0,16.66666667,35.0,Filtrado,488,LFQ,175.0,193.0
2022-12-08 00:00:00,01-190722,Jerico,Dos mil,Lavado,29.1,16.28865979,24.36,Filtrado,481,LFQ,175.0,192.0
16-08-22,01-190722,Jerico,Dos mil,Lavado,6.0,16.66666667,5.0,Espresso,521,LFQ,175.0,196.0
17-08-22,10-190722,Jerico,Caturra,Lavado,24.0,16.66666667,20.0,Filtrado,485,LFQ,175.0,192.0
18-08-22,01-190722,Jerico,Dos mil,Lavado,6.0,16.66666667,5.0,Espresso,522,LFQ,175.0,196.0
18-08-22,01-190722,Jerico,Dos mil,Lavado,36.0,15.27777778,30.5,Filtrado,485,LFQ,175.0,192.0
22-08-22,01-190722,Jerico,Dos mil,Lavado,3.0,16.66666667,2.5,Espresso,532,LFQ,175.0,195.0
29-8-22,01-190722,Jerico,Dos mil,Lavado,86.0,18.60465116,70.0,Espresso,531,LFQ,175.0,195.0
29-8-22,01-190722,Jerico,Dos mil,Lavado,30.0,16.66666667,25.0,Filtrado,477,LFQ,175.0,192.0
29-8-22,09-190722,Ciudad Bolivar,Tabi,Natural,6.0,16.66666667,5.0,Filtrado,468,LFQ,175.0,191.0
30-8-22,01-190722,Jerico,Dos mil,Lavado,15.0,16.66666667,12.5,Filtrado,478,LFQ,175.0,192.0
31-8-22,01-190722,Jerico,Dos mil,Lavado,6.0,17.0,4.98,Espresso,522,LFQ,175.0,195.0
2022-02-09 00:00:00,01-190722,Jerico,Dos mil,Lavado,27.8,16.54676259,23.2,Filtrado,485,LFQ,175.0,192.0
2022-06-09 00:00:00,01-190722,Jerico,Dos mil,Lavado,18.0,15.55555556,15.2,Filtrado,486,LFQ,175.0,191.0
13-9-22,01-190722,Jerico,Dos mil,Lavado,23.7,16.11814346,19.88,Filtrado,487,LFQ,175.0,192.0
16-9-22,01-190722,Jerico,Dos mil,Lavado,25.5,18.2745098,20.84,Filtrado,481,LFQ,175.0,192.0
16-9-22,01-190722,Jerico,Dos mil,Lavado,9.5,21.05263158,7.5,Espresso,519,LFQ,175.0,195.0
26-9-22,01-190722,Jerico,Dos mil,Lavado,86.0,18.60465116,70.0,Espresso,518,LFQ,175.0,196.0
26-9-22,01-190722,Jerico,Dos mil,Lavado,30.0,16.66666667,25.0,Filtrado,492,LFQ,175.0,193.0
26-9-22,10-190722,Jerico,Dos mil,Lavado,30.0,17.33333333,24.8,Filtrado,490,LFQ,175.0,191.0
26-9-22,09-190722,Ciudad Bolivar,Tabi,Natural,6.0,16.66666667,5.0,Filtrado,482,LFQ,175.0,192.0
29-9-22,01-190722,Jerico,Dos mil,Lavado,3.0,16.66666667,2.5,Filtrado,484,LFQ,175.0,194.0
29-9-22,10-190722,Jerico,Dos mil,Lavado,9.0,16.55555556,7.51,Filtrado,485,LFQ,175.0,192.0
2022-03-10 00:00:00,01-190722,Jerico,Dos mil,Lavado,24.0,16.66666667,20.0,Filtrado,480,LFQ,175.0,191.0
2022-03-10 00:00:00,10-190722,Jerico,Dos mil,Lavado,12.0,16.66666667,10.0,Filtrado,482,LFQ,175.0,192.0
2022-05-10 00:00:00,01-190722,Jerico,Dos mil,Lavado,12.0,16.66666667,10.0,Filtrado,486,LFQ,175.0,192.0
2022-05-10 00:00:00,01-190722,Jerico,Dos mil,Lavado,9.6,21.875,7.5,Espresso,531,LFQ,175.0,196.0
13-10-22,01-190722,Jerico,Dos mil,Lavado,32.0,18.75,26.0,Filtrado,481,LFQ,175.0,192.0
13-10-22,09-190722,Ciudad Bolivar,Tabi,Natural,18.0,16.66666667,15.0,Filtrado,496,LFQ,175.0,191.0
13-10-22,01-190722,Jerico,Dos mil,Lavado,42.0,16.66666667,35.0,Filtrado,495,LFQ,175192.0,
13-10-22,01-190722,Jerico,Dos mil,Lavado,3.2,21.875,2.5,Espresso,541,LFQ,175.0,196.0
